so_hieu,title,clause_type,content,parent_content,grandparent_content,reference,relation,error_type
309/2025/NĐ-CP,Nghị định sửa đổi Nghị định 26/2019/NĐ-CP,dieu,"Điều 1. Bãi bỏ cụm từ “và quy định khác có liên quan” tại điểm b khoản 5 Điều 36 Nghị định số 26/2019/NĐ-CP đã được sửa đổi, bổ sung tại khoản 14 Điều 1 Nghị định số 37/2024/NĐ-CP.",,,điểm b khoản 5 Điều 36 Nghị định số 26/2019/NĐ-CP,bai_bo,FP
11/2022/NQ-HĐND,Nghị quyết kéo dài thời gian thực hiện Nghị quyết về chính sách hỗ trợ phát triển sản xuất nông nghiệp trên địa bàn tỉnh Lai Châu,dieu,"Kéo dài thời gian thực hiện các nội dung và mức hỗ trợ: giống lúa thuần (tiêu chuẩn xác nhận); giống ngô lai; phát triển cây ăn quả tập trung và cải tạo vườn tạp; chuyển đổi phương thức chăn nuôi (trâu, bò, ngựa) và cải tạo đàn gia súc; vôi cải tạo đất ruộng; nuôi tôm, cá lồng; khai hoang ruộng nước; phát triển cơ giới hóa nông nghiệp trong chính sách hỗ trợ phát triển sản xuất nông nghiệp trên địa bàn tỉnh được quy định tại Nghị quyết số 33/2016/NQ-HĐND ngày 28/7/2016, Nghị quyết số 40/2019/NQ-HĐND ngày 11/12/2019 của Hội đồng nhân dân tỉnh đến hết ngày 31 tháng 12 năm 2022. Nguyên tắc hỗ trợ; phạm vi, đối tượng áp dụng; điều kiện, nguồn vốn hỗ trợ đối với các nội dung được phép kéo dài thực hiện theo Nghị quyết số 33/2016/NQ-HĐND ngày 28/7/2016 và các nội dung đã được sửa đổi, bổ sung tại Nghị quyết số 40/2019/NQ-HĐND ngày 11/12/2019 của Hội đồng nhân dân tỉnh.",,,Nghị quyết số 33/2016/NQ-HĐND ngày 28/7/2016,keo_dai_hieu_luc,FP
11/2022/NQ-HĐND,Nghị quyết kéo dài thời gian thực hiện Nghị quyết về chính sách hỗ trợ phát triển sản xuất nông nghiệp trên địa bàn tỉnh Lai Châu,dieu,"Kéo dài thời gian thực hiện các nội dung và mức hỗ trợ: giống lúa thuần (tiêu chuẩn xác nhận); giống ngô lai; phát triển cây ăn quả tập trung và cải tạo vườn tạp; chuyển đổi phương thức chăn nuôi (trâu, bò, ngựa) và cải tạo đàn gia súc; vôi cải tạo đất ruộng; nuôi tôm, cá lồng; khai hoang ruộng nước; phát triển cơ giới hóa nông nghiệp trong chính sách hỗ trợ phát triển sản xuất nông nghiệp trên địa bàn tỉnh được quy định tại Nghị quyết số 33/2016/NQ-HĐND ngày 28/7/2016, Nghị quyết số 40/2019/NQ-HĐND ngày 11/12/2019 của Hội đồng nhân dân tỉnh đến hết ngày 31 tháng 12 năm 2022. Nguyên tắc hỗ trợ; phạm vi, đối tượng áp dụng; điều kiện, nguồn vốn hỗ trợ đối với các nội dung được phép kéo dài thực hiện theo Nghị quyết số 33/2016/NQ-HĐND ngày 28/7/2016 và các nội dung đã được sửa đổi, bổ sung tại Nghị quyết số 40/2019/NQ-HĐND ngày 11/12/2019 của Hội đồng nhân dân tỉnh.",,,Nghị quyết số 40/2019/NQ-HĐND ngày 11/12/2019,keo_dai_hieu_luc,FP
01/2025/NQ-HĐTP,"Nghị quyết hướng dẫn áp dụng một số quy định về tiếp nhận nhiệm vụ, thực hiện thẩm quyền của các tòa án nhân dân",dieu,"Điều 5. Phạm vi điều chỉnh
Nghị quyết này hướng dẫn áp dụng một số quy định về tiếp nhận nhiệm vụ, thực hiện thẩm quyền của các Tòa án nhân dân kể từ ngày 01/7/2025 theo quy định của Luật Tổ chức Tòa án nhân dân, Bộ luật Tố tụng hình sự, Bộ luật Tố tụng dân sự, Luật Tố tụng hành chính, Luật Tư pháp người chưa thành niên, Luật Phá sản, Luật Hòa giải, đối thoại tại Tòa án và các luật, nghị quyết của Quốc hội, pháp lệnh, nghị quyết của Ủy ban Thường vụ Quốc hội có liên quan.",,,Luật Tổ chức Tòa án nhân dân,dan_chieu,FP
01/2025/NQ-HĐTP,"Nghị quyết hướng dẫn áp dụng một số quy định về tiếp nhận nhiệm vụ, thực hiện thẩm quyền của các tòa án nhân dân",dieu,"Điều 5. Phạm vi điều chỉnh
Nghị quyết này hướng dẫn áp dụng một số quy định về tiếp nhận nhiệm vụ, thực hiện thẩm quyền của các Tòa án nhân dân kể từ ngày 01/7/2025 theo quy định của Luật Tổ chức Tòa án nhân dân, Bộ luật Tố tụng hình sự, Bộ luật Tố tụng dân sự, Luật Tố tụng hành chính, Luật Tư pháp người chưa thành niên, Luật Phá sản, Luật Hòa giải, đối thoại tại Tòa án và các luật, nghị quyết của Quốc hội, pháp lệnh, nghị quyết của Ủy ban Thường vụ Quốc hội có liên quan.",,,luật Tố tụng hình sư,dan_chieu,FP
26/2025/TT-BYT,Thông tư quy định về đơn thuốc trong điều trị ngoại trú,diem,"Thông tư số 18/2018/TT-BYT ngày 22 tháng 8 năm 2018 sửa đổi, bổ sung một số điều của Thông tư số 52/2017/TT-BYT ngày 29 tháng 12 năm 2017 quy định về đơn thuốc và việc kê đơn thuốc hóa dược, sinh phẩm trong điều trị ngoại trú;","Các Thông tư hết hiệu lực kể từ ngày Thông tư này có hiệu lực, bao gồm:",Hiệu lực thi hành,Thông tư số 18/2018/TT-BYT ngày 22 tháng 8 năm 2018,bai_bo,FP
26/2025/TT-BYT,Thông tư quy định về đơn thuốc trong điều trị ngoại trú,diem,"Thông tư số 18/2018/TT-BYT ngày 22 tháng 8 năm 2018 sửa đổi, bổ sung một số điều của Thông tư số 52/2017/TT-BYT ngày 29 tháng 12 năm 2017 quy định về đơn thuốc và việc kê đơn thuốc hóa dược, sinh phẩm trong điều trị ngoại trú;","Các Thông tư hết hiệu lực kể từ ngày Thông tư này có hiệu lực, bao gồm:",Hiệu lực thi hành,Thông tư số 18/2018/TT-BYT ngày 22 tháng 8 năm 2018,thay_the,FN
1739/QĐ-UBND,Quyết định đình chỉ thi hành quy định quản lý và bảo vệ động vật hoang dã Cà Mau 2015,dieu,"Điều 1. Đình chỉ thi hành Khoản 1 của Điều 8, Quy định kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau ban hành Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau; Khoản 2, Khoản 3 của Điều 1 và loài rùa hộp lưng đen (số thứ tự 24) tại Danh mục động vật hoang dã thông thường được quản lý, bảo vệ trên địa bàn tỉnh Cà Mau, thuộc Quyết định số 03/2014/QĐ-UBND ngày 08/02/2014 của Ủy ban nhân dân tỉnh Cà Mau sửa đổi, bổ sung một số điều của Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau ban hành kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau. Lý do đình chỉ: Do không phù hợp với quy định của pháp luật hiện hành.",,,Khoản 2 điều 1 Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010,dinh_chi,FP
1739/QĐ-UBND,Quyết định đình chỉ thi hành quy định quản lý và bảo vệ động vật hoang dã Cà Mau 2015,dieu,"Điều 1. Đình chỉ thi hành Khoản 1 của Điều 8, Quy định kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau ban hành Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau; Khoản 2, Khoản 3 của Điều 1 và loài rùa hộp lưng đen (số thứ tự 24) tại Danh mục động vật hoang dã thông thường được quản lý, bảo vệ trên địa bàn tỉnh Cà Mau, thuộc Quyết định số 03/2014/QĐ-UBND ngày 08/02/2014 của Ủy ban nhân dân tỉnh Cà Mau sửa đổi, bổ sung một số điều của Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau ban hành kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau. Lý do đình chỉ: Do không phù hợp với quy định của pháp luật hiện hành.",,,Khoản 3 điều 1 Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010,dinh_chi,FP
16/2022/TT-BKHĐT,Thông tư ngưng hiệu lực Thông tư 08/2022/TT-BKHĐT và 10/2022/TT-BKHĐT,diem,"a) Ngưng hiệu lực thi hành từ ngày 01 tháng 8 năm 2022 đến ngày 15 tháng 9 năm 2022, trừ quy định về lộ trình áp dụng đấu thầu qua mạng đối với gói thầu mua sắm hàng hóa chia thành nhiều phần quy định tại khoản 1 Điều 37.","1. Đối với Thông tư số 08/2022/TT-BKHĐT ngày 31 tháng 5 năm 2022 của Bộ trưởng Bộ Kế hoạch và Đầu tư quy định chi tiết việc cung cấp, đăng tải thông tin về đấu thầu và lựa chọn nhà thầu trên Hệ thống mạng đấu thầu quốc gia:",Điều 1. Ngưng hiệu lực thi hành,khoản 1 Điều 37 Thông tư số 08/2022/TT-BKHĐT ngày 31 tháng 5 năm 2022,dan_chieu,FP
