so_hieu,clause_type,content,parent_content,grandparent_content,reference,relation,diff_type
1026/QĐ-BNNMT,khoan,"b) Số thứ tự 1 của khoản A Mục I Phần I; số thứ tự 1, 2, 3 của khoản B Mục I Phần I và nội dung cụ thể tương ứng tại số thứ tự 1 của khoản A Mục I Phần II; số thứ tự 1, 2, 3 của khoản B Mục I Phần II tại Phụ lục kèm theo Quyết định số 3969/QĐ-BNNMT ngày 25 tháng 9 năm 2025 của Bộ trưởng Bộ Nông nghiệp và Môi trường về việc công bố thủ tục hành chính nội bộ mới ban hành; sửa đổi, bổ sung lĩnh vực đất đai thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông nghiệp và Môi trường.
Trong thời gian Ủy ban nhân dân cấp tỉnh chưa ban hành thủ tục hành chính theo quy định tại khoản 1 Điều 15 của Nghị định số 49/2026/NĐ-CP ngày 31 tháng 01 năm 2026 của Chính phủ ban hành Nghị định quy định chi tiết và hướng dẫn một số điều của Nghị quyết số 254/2025/QH15 của Quốc hội quy định một số cơ chế, chính sách tháo gỡ khó khăn, vướng mắc trong tổ chức thi hành Luật Đất đai thì tiếp tục thực hiện các thủ tục hành chính nêu tại Khoản này.","2. Bãi bỏ các nội dung công bố tại Quyết định số 2417/QĐ-BNNMT ngày 28 tháng 6 năm 2025 của Bộ trưởng Bộ Nông nghiệp và Môi trường về việc công bố thủ tục hành chính nội bộ lĩnh vực đất đai thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông nghiệp và Môi trường và Quyết định số 3969/QĐ-BNNMT ngày 25 tháng 9 năm 2025 của Bộ trưởng Bộ Nông nghiệp và Môi trường về việc công bố thủ tục hành chính nội bộ mới ban hành; sửa đổi, bổ sung lĩnh vực đất đai thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông nghiệp và Môi trường, như sau:",Điều 2. Quyết định này có hiệu lực kể từ ngày ký.,khoản 1 Điều 15 của Nghị định số 49/2026/NĐ-CP ngày 31 tháng 01 năm 2026,dan_chieu,FN_resolved_by_LLM
19/2026/TT-BNNMT,khoan,"3. Sửa đổi nội dung mô tả của trường thông tin Mã thửa đất tại các bảng a, b, c của mục 2.2.1; bảng b của mục 2.2.6.3; bảng a của mục 1.1 tại Phụ lục I của Thông tư số 09/2024/TT-BTNMT ngày 31 tháng 7 năm 2024 của Bộ trưởng Bộ Tài nguyên và Môi trường quy định về nội dung, cấu trúc, kiểu thông tin cơ sở dữ liệu quốc gia về đất đai và yêu cầu kỹ thuật đối với phần mềm ứng dụng của Hệ thống thông tin quốc gia về đất đai thành “Mã định danh thửa đất là chuỗi gồm 12 ký tự xác định vị trí địa lý của thửa đất trong hệ tọa độ địa lý quốc tế WGS84 được mã hóa theo thuật toán GeoHash được gán cho từng thửa đất và có tính duy nhất trên toàn quốc”.",Điều 11. Hiệu lực thi hành,,Thông tư số 09/2024/TT-BTNMT ngày 31 tháng 7 năm 2024,sua_doi_bo_sung,FN_resolved_by_LLM
592/QĐ-UBND,diem,"a) Đính chính căn cứ ban hành tại các Quyết định của Ủy ban nhân dân tỉnh: Số 09/2025/QĐ-UBND ngày 19 tháng 02 năm 2025 Quy định một số chỉ tiêu cụ thể, yếu tố ảnh hưởng đến giá đất khi áp dụng phương pháp định giá đất trên địa bàn tỉnh Quảng Ngãi theo Nghị định số 71/2024/NĐ-CP ngày 27 tháng 6 năm 2024 của Chính phủ quy định về giá đất; số 16/2025/QĐ-UBND ngày 28 tháng 02 năm 2025 Bãi bỏ Quyết định số 36/2017/QĐ-UBND ngày 29 tháng 5 năm 2017 của UBND tỉnh quy định mức thu, chế độ thu, nộp và quản lý lệ phí đăng ký kinh doanh trên địa bàn tỉnh Quảng Ngãi, cụ thể:
- Tại căn cứ ban hành: “Căn cứ Luật Tổ chức chính quyền địa phương ngày 19 tháng 6 năm 2015; Luật sửa đổi, bổ sung một số điều của Luật Tổ chức Chính phủ và Luật Tổ chức chính quyền địa phương ngày 22 tháng 11 năm 2019”.
- Nay đính chính là: “Căn cứ Luật Tổ chức Chính quyền địa phương ngày 19 tháng 02 năm 2025”.",Điều 1.,,Quyết định 16/2025/QĐ-UBND ngày 28 tháng 02 năm 2025,dinh_chinh,FN_resolved_by_LLM
17/2025/QĐ-UBND,dieu,Điều 2. Quyết định này có hiệu lực thi hành kể từ ngày 01 tháng 8 năm 2025; Chỉ thị số 20/2012/CT-UBND ngày 04/12/2012 của UBND tỉnh về việc tăng cường công tác bảo vệ quyền lợi người tiêu dùng trên địa bàn tỉnh Quảng Ngãi hết hiệu lực thi hành kể từ ngày Quyết định này có hiệu lực thi hành.,,,Chỉ thị số 20/2012/CT-UBND ngày 04/12/2012,thay_the,FN_resolved_by_LLM
89/2000/QĐ/UB-LĐLĐ,dieu,"Điều 1
- Mối quan hệ giữa UBND tỉnh và Liên đoàn Lao động tỉnh đã được quy định trong Luật Công ngày đoàn ngày 30/6/1990 và Nghị định 133 HĐBT ngày 20/4/1991 của Hội đồng Bộ trưởng (nay là Chính phủ) hướng dẫn thi hành Luật Công đoàn.
- UBND và Liên đoàn Lao động phối hợp giải quyết các vấn đề thuộc nhiệm vụ, quyền hạn của Uỷ ban nhân dân tỉnh và Liên đoàn Lao động tỉnh.",,,Luật Công ngày đoàn ngày 30/6/1990,dan_chieu,FN_resolved_by_LLM
89/2000/QĐ/UB-LĐLĐ,dieu,"Điều 1
- Mối quan hệ giữa UBND tỉnh và Liên đoàn Lao động tỉnh đã được quy định trong Luật Công ngày đoàn ngày 30/6/1990 và Nghị định 133 HĐBT ngày 20/4/1991 của Hội đồng Bộ trưởng (nay là Chính phủ) hướng dẫn thi hành Luật Công đoàn.
- UBND và Liên đoàn Lao động phối hợp giải quyết các vấn đề thuộc nhiệm vụ, quyền hạn của Uỷ ban nhân dân tỉnh và Liên đoàn Lao động tỉnh.",,,Nghị định 133 HĐBT ngày 20/4/1991,dan_chieu,FN_resolved_by_LLM
18/2018/QĐ-UBND,khoan,"1. Ngưng hiệu lực thi hành đối với Điều 82, Điều 83, Điều 84, Điều 85, Điều 86 và điểm b khoản 2 Điều 124 Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017 của Chính phủ quy định chi tiết một số điều của Bộ luật Hàng hải Việt Nam về quản lý hoạt động hàng hải đến hết ngày 30 tháng 6 năm 2018.",Điều 1. Ngưng hiệu lực thi hành đối với một số quy định tại Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017 của Chính phủ quy định chi tiết một số điều của Bộ luật Hàng hải Việt Nam về quản lý hoạt động hàng hải,,Điều 82 Nghị định số 58/2017/NĐ-CP ngày 10 tháng 5 năm 2017,ngung_hieu_luc,FN_resolved_by_LLM
118/QĐ-TTg,dieu,"Điều 3. Tập trung, chủ động thực hiện kịp thời, linh hoạt, hiệu quả các cơ chế, chính sách đãi ngộ, thu hút nhân lực y tế cho tất cả các đối tượng theo quy định trong lĩnh vực pháp y, pháp y tâm thần, bắt buộc chữa bệnh tâm thần với lộ trình phù hợp theo thực tế triển khai và khả năng ngân sách nhà nước đồng bộ với các cơ chế, chính sách và quy định pháp luật liên quan, trong đó có Nghị quyết số 72-NQ/TW ngày 09 tháng 9 năm 2025 của Bộ Chính trị về một số giải pháp đột phá, tăng cường bảo vệ, chăm sóc và nâng cao sức khỏe Nhân dân; Nghị quyết số 282/NQ-CP ngày 15 tháng 9 năm 2025 của Chính phủ ban hành Chương trình hành động của Chính phủ thực hiện Nghị quyết số 72-NQ/TW của Bộ Chính trị về một số giải pháp đột phá, tăng cường bảo vệ, chăm sóc và nâng cao sức khỏe Nhân dân; Nghị quyết số 261/2025/QH15 của Quốc hội ngày 11 tháng 12 năm 2025 về một số cơ chế, chính sách đặc biệt tạo đột phá cho công tác bảo vệ, chăm sóc và nâng cao sức khỏe nhân dân; Nghị định số 238/2025/NĐ-CP ngày 03 tháng 9 năm 2025 quy định về chính sách học phí, miễn, giảm, hỗ trợ học phí, hỗ trợ chi phí học tập và giá dịch vụ trong lĩnh vực giáo dục, đào tạo; Nghị định số 111/2017/NĐ-CP ngày 05 tháng 10 năm 2017 của Chính phủ quy định về tổ chức đào tạo thực hành trong đào tạo khối ngành sức khỏe; Chỉ thị số 54-CT/TW ngày 30 tháng 11 năm 2025 của Bộ Chính trị về tăng cường sự lãnh đạo của Đảng đối với công tác giám định tư pháp và định giá tài sản.",,,Chỉ thị số 54-CT/TW ngày 30 tháng 11 năm 2025,dan_chieu,FN_resolved_by_LLM
118/QĐ-TTg,dieu,"Điều 3. Tập trung, chủ động thực hiện kịp thời, linh hoạt, hiệu quả các cơ chế, chính sách đãi ngộ, thu hút nhân lực y tế cho tất cả các đối tượng theo quy định trong lĩnh vực pháp y, pháp y tâm thần, bắt buộc chữa bệnh tâm thần với lộ trình phù hợp theo thực tế triển khai và khả năng ngân sách nhà nước đồng bộ với các cơ chế, chính sách và quy định pháp luật liên quan, trong đó có Nghị quyết số 72-NQ/TW ngày 09 tháng 9 năm 2025 của Bộ Chính trị về một số giải pháp đột phá, tăng cường bảo vệ, chăm sóc và nâng cao sức khỏe Nhân dân; Nghị quyết số 282/NQ-CP ngày 15 tháng 9 năm 2025 của Chính phủ ban hành Chương trình hành động của Chính phủ thực hiện Nghị quyết số 72-NQ/TW của Bộ Chính trị về một số giải pháp đột phá, tăng cường bảo vệ, chăm sóc và nâng cao sức khỏe Nhân dân; Nghị quyết số 261/2025/QH15 của Quốc hội ngày 11 tháng 12 năm 2025 về một số cơ chế, chính sách đặc biệt tạo đột phá cho công tác bảo vệ, chăm sóc và nâng cao sức khỏe nhân dân; Nghị định số 238/2025/NĐ-CP ngày 03 tháng 9 năm 2025 quy định về chính sách học phí, miễn, giảm, hỗ trợ học phí, hỗ trợ chi phí học tập và giá dịch vụ trong lĩnh vực giáo dục, đào tạo; Nghị định số 111/2017/NĐ-CP ngày 05 tháng 10 năm 2017 của Chính phủ quy định về tổ chức đào tạo thực hành trong đào tạo khối ngành sức khỏe; Chỉ thị số 54-CT/TW ngày 30 tháng 11 năm 2025 của Bộ Chính trị về tăng cường sự lãnh đạo của Đảng đối với công tác giám định tư pháp và định giá tài sản.",,,Nghị định số 111/2017/NĐ-CP ngày 05 tháng 10 năm 2017,dan_chieu,FN_resolved_by_LLM
1739/QĐ-UBND,dieu,"Điều 1. Đình chỉ thi hành Khoản 1 của Điều 8, Quy định kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau ban hành Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau; Khoản 2, Khoản 3 của Điều 1 và loài rùa hộp lưng đen (số thứ tự 24) tại Danh mục động vật hoang dã thông thường được quản lý, bảo vệ trên địa bàn tỉnh Cà Mau, thuộc Quyết định số 03/2014/QĐ-UBND ngày 08/02/2014 của Ủy ban nhân dân tỉnh Cà Mau sửa đổi, bổ sung một số điều của Quy định về quản lý và bảo vệ động vật hoang dã trên địa bàn tỉnh Cà Mau ban hành kèm theo Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010 của Ủy ban nhân dân tỉnh Cà Mau. Lý do đình chỉ: Do không phù hợp với quy định của pháp luật hiện hành.",,,Khoản 2 điều 1 Quyết định số 20/2010/QĐ-UBND ngày 23/9/2010,dinh_chi,FP_introduced_by_LLM
