so_hieu,title,clause_type,content,parent_content,grandparent_content,keyword,reason_not_relation,suggested_label,audit_status
24/2023/QH15,Luật viễn thông 2023,khoan,5. Chính phủ quy định chi tiết các nội dung sau đây:,"Điều 29. Cung cấp và sử dụng dịch vụ trung tâm dữ liệu, dịch vụ điện toán đám mây",,quy định chi tiết,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
02/2011/NQ-HĐND,"Nghị quyết quy định phí, lệ phí áp dụng trên địa bàn tỉnh Bến Tre do Hội đồng nhân dân tỉnh Bến Tre khóa VIII, kỳ họp thứ 2 ban hành",dieu,"Điều 3. Bãi bỏ và thay thế các văn bản quy định phí, lệ phí",,,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"e) Hướng dẫn, hỗ trợ đồng nghiệp, chia sẻ kinh nghiệm về phát triển năng lực chuyên môn, nghiệp vụ;",3. Đối với hạng I,"Điều 6. Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ",hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,khoan,"6. Tổ chức thanh lý tài sản nhà nước theo phương thức phá dỡ, hủy bỏ",Điều 9. Thẩm quyền quyết định thanh lý tài sản nhà nước,,hủy bỏ,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
105/2006/NĐ-CP,Nghị định bảo vệ quyền sở hữu trí tuệ quản lý nhà nước hướng dẫn Luật Sở hữu trí tuệ,diem,"a) Quyết định tạm dừng làm thủ tục hải quan bị đình chỉ hoặc thu hồi theo quyết định giải quyết khiếu nại, tố cáo;",2. Cơ quan hải quan tiếp tục làm thủ tục hải quan cho lô hàng bị tạm dừng làm thủ tục hải quan theo quy định tại khoản 3 Điều 218 của Luật Sở hữu trí tuệ và trong các trường hợp sau đây:,Điều 37. Xử lý hàng hoá bị nghi ngờ xâm phạm,đình chỉ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
06/2017/QĐ-UBND,Quyết định quy chế Bảo vệ bí mật nhà nước Điện Biên,dieu,"Điều 3. Đề xuất lập, sửa đổi, bổ sung, giải mật danh mục bí mật nhà nước",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
46/2016/QĐ-TTg,Quyết định về định mức phân bổ dự toán chi thường xuyên ngân sách nhà nước năm 2017 do Thủ tướng Chính phủ ban hành,vanban,"2. Định mức phân bổ theo tiêu chí bổ sung:
Các tỉnh, thành phố trực thuộc Trung ương có các huyện miền núi - vùng đồng bào dân tộc ở đồng bằng, vùng sâu, huyện vùng cao, hải đảo có trạm phát lại phát thanh, truyền hình được phân bổ 330 triệu đồng/huyện để có thêm kinh phí thực hiện phủ sóng phát thanh, truyền hình đối với vùng khó khăn.",,,bổ sung,"Keyword bổ sung dùng cho hồ sơ/thông tin/nguồn lực/nhiệm vụ, không phải bổ sung điều khoản hoặc văn bản pháp luật.",none,pending
02/2011/NQ-HĐND,"Nghị quyết quy định phí, lệ phí áp dụng trên địa bàn tỉnh Bến Tre do Hội đồng nhân dân tỉnh Bến Tre khóa VIII, kỳ họp thứ 2 ban hành",khoan,3. Quy định về mức thu phí vệ sinh tại khoản 3 Điều 1 Nghị quyết này thay thế:,"Điều 3. Bãi bỏ và thay thế các văn bản quy định phí, lệ phí",,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
70/2006/QH11,Luật chứng khoán 2006,diem,"d) Chia, tách, sáp nhập, hợp nhất, chuyển đổi, giải thể, phá sản;",2. Thành viên lưu ký bị thu hồi Giấy chứng nhận đăng ký hoạt động lưu ký chứng khoán trong các trường hợp sau đây:,"Điều 51. Đình chỉ, thu hồi Giấy chứng nhận đăng ký hoạt động lưu ký chứng khoán",hợp nhất,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
1410/BNG-LPQT,Điều ước quốc tế thông báo 1410/BNG-LPQT năm 2025 hiệu lực của Hiệp định về chuyển giao người bị kết án phạt tù giữa nước Việt Nam và Ca-dắc-xtan,khoan,1. Bên chuyển giao có quyền bảo lưu thẩm quyền sửa đổi hoặc hủy bỏ hình phạt mà tòa án nước mình đã tuyên.,"Điều 12
Bảo lưu thẩm quyền xét xử",,sửa đổi,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
19/2004/QĐ-UB,"Quyết định v/v Ban hành Quy chế tổ chức hoạt động Nhà văn hoá làng, thôn, bản, khu phố",vanban,"____________________________
- Căn cứ Luật Tổ chức Hội đồng nhân dân và Uỷ ban nhân dân ngày 26/11/2003;
- Căn cứ Hướng dẫn số 1184/HD-BVHTT ngày 14/4/2004 của Bộ Văn hoá  - Thông tin hướng dẫn xây dựng thiết chế văn hoá làng, thôn , ấp, bản, khu phố;
- Xét đề nghị của Giám đốc Sở Văn hoá - Thông tin tại Tờ trình số 27/TT-SVH-TT ngày 5/5/2004,",,,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
